k_invA,chi
1.445000000000000107e+01,6.475710956304206803e-03
1.450000000000000000e+01,3.746794059776910758e-03
1.455000000000000071e+01,4.939112823487066791e-04
1.460000000000000142e+01,-1.844327829862351528e-05
1.465000000000000036e+01,1.837562333365097512e-03
1.470000000000000107e+01,3.637581820940985304e-03
1.475000000000000000e+01,4.902057899257791090e-03
1.480000000000000071e+01,5.370660324020897110e-03
1.485000000000000142e+01,3.559285904694554220e-03
1.490000000000000036e+01,6.331474794823578178e-04
1.495000000000000107e+01,-1.633246081818726146e-03
1.500000000000000000e+01,-3.451280356220486414e-03
1.505000000000000071e+01,-3.805196952670151372e-03
1.510000000000000142e+01,-3.405438906818982099e-03
1.515000000000000036e+01,-3.702710192630085176e-03
1.520000000000000107e+01,-4.058809770004990353e-03
1.525000000000000000e+01,-4.041670108965678306e-03
1.530000000000000071e+01,-4.213527840824944290e-03
1.535000000000000142e+01,-3.487783428831028789e-03
1.540000000000000036e+01,-2.655379117073029469e-03
1.545000000000000107e+01,-2.518678536001761527e-03
1.550000000000000000e+01,-1.089780522649119558e-03
1.555000000000000071e+01,1.153559988602780332e-03
1.560000000000000142e+01,2.670582460369710139e-03
1.565000000000000036e+01,3.347146062227599438e-03
1.570000000000000107e+01,3.353645346698559768e-03
1.575000000000000000e+01,2.974423329107292978e-03
1.580000000000000071e+01,2.583760041025091794e-03
1.585000000000000142e+01,2.444239620942354353e-03
1.590000000000000036e+01,2.145172606632287250e-03
1.595000000000000107e+01,9.988300451136717262e-04
1.600000000000000000e+01,-1.423392944802313040e-04
1.605000000000000071e+01,-6.070565719137324331e-04
1.610000000000000142e+01,-3.966438345546032299e-04
1.615000000000000213e+01,3.729603616636617265e-04
1.619999999999999929e+01,1.349725693502218946e-03
1.625000000000000000e+01,1.090848374111182736e-03
1.630000000000000071e+01,-2.401898056562800526e-04
1.635000000000000142e+01,2.605713663289868485e-05
1.640000000000000213e+01,2.752275658771619819e-04
1.644999999999999929e+01,-6.338533583878353363e-04
1.650000000000000000e+01,-1.550849025459835823e-03
1.655000000000000071e+01,-2.209537365672718801e-03
1.660000000000000142e+01,-2.304071545037747557e-03
1.665000000000000213e+01,-2.350648396122416005e-03
1.669999999999999929e+01,-2.787695854479865960e-03
1.675000000000000000e+01,-2.900801889426494855e-03
1.680000000000000071e+01,-2.432364038818854175e-03
1.685000000000000142e+01,-1.154390682048725587e-03
1.690000000000000213e+01,1.124986900179981032e-03
1.694999999999999929e+01,2.335256548117570392e-03
1.700000000000000000e+01,2.499397805645725036e-03
